,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
4363,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005643,10.1016/j.jhydrol.2021.126517,2021-09-01,S0022169421005643,2-s2.0-85107598478,85107598478.0,15.0,"57194149568, 55028972200, 7003479992",60004538:60028897:60000673,True
4365,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421004054,10.1016/j.jhydrol.2021.126358,2021-09-01,S0022169421004054,2-s2.0-85110614721,85110614721.0,19.0,"57203005634, 56112759300, 57200051248",60105213:60014171:60105213,True
4377,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005813,10.1016/j.jhydrol.2021.126534,2021-09-01,S0022169421005813,2-s2.0-85107787987,85107787987.0,8.0,"55725554400, 57224517524, 56075574800, 57207275546","60010689, 60027363:60010689, 60027363:60002345:60010689, 60027363",True
4387,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005461,10.1016/j.jhydrol.2021.126499,2021-09-01,S0022169421005461,2-s2.0-85109100175,85109100175.0,15.0,"57193884174, 7006193614, 36642635500","60000221, 60007087:60000221, 60000221:60000221",True
4388,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005631,10.1016/j.jhydrol.2021.126516,2021-09-01,S0022169421005631,2-s2.0-85108060990,85108060990.0,1.0,"56246609700, 7101638860, 6602725432, 7003811754","60008506, 60019578:60008506:60019578:60019578",True
4389,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006089,10.1016/j.jhydrol.2021.126561,2021-09-01,S0022169421006089,2-s2.0-85108109560,85108109560.0,14.0,"57213402526, 9740805800, 56432112400, 56497987000, 7801572145, 57221126972",60031150:60031150:60031150:60004750:60006294:60004750,True
4391,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005552,10.1016/j.jhydrol.2021.126508,2021-09-01,S0022169421005552,2-s2.0-85109396161,85109396161.0,22.0,"7006740615, 54784096300, 17134398100, 56169163700, 26423519000, 56494589000, 7005889332, 56352892700, 6507587045, 6603125486, 56417996000, 56556983200, 57203096508, 6701910482, 55363313300, 36080576400, 7003627452, 7003426834, 55698985400, 57202848010, 6508371007, 57200528182","60074283, 60010614:60008134:60008988:60033100:60108488, 60004967:60011149:60011149:60025641:60008134:60008134:60018353:60102538:60025641:60012614:60074283:60031214:60002658:60004967:60018353:60011149:60018353, 60017997:60102538",True
4401,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005771,10.1016/j.jhydrol.2021.126530,2021-09-01,S0022169421005771,2-s2.0-85110399774,85110399774.0,4.0,"55790755000, 57226097757, 57226097271, 57205194808, 56488934500, 58365771600, 57188711722",60029306:60019764:102054922:60029306:60029306:60029306:60029306,True
4411,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005060,10.1016/j.jhydrol.2021.126459,2021-09-01,S0022169421005060,2-s2.0-85109994313,85109994313.0,0.0,"57189991222, 56047176000, 56047228600, 57217779740",60000627:60077835:60028947:60002494,True
4415,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006338,10.1016/j.jhydrol.2021.126586,2021-09-01,S0022169421006338,2-s2.0-85109105168,85109105168.0,7.0,"57217036150, 12140530100, 57191279104, 57215014017","60127212, 60007711, 60007711:60127212, 60007711, 60007711:60127212, 60007711, 60007711:60127212, 60007711, 60007711",True
