affiliation,citations
117987626,87.0
60077968,87.0
60046057,87.0
60129289,86.0
60008042,86.0
60072035,86.0
60104915,86.0
60017880,86.0
109298832,86.0
60022758,86.0
60017010,86.0
100526265,86.0
112171490,86.0
60008480,86.0
60016809,85.0
60027271,85.0
60007819,85.0
60019311,85.0
60027428,85.0
60017915,85.0
60001563,85.0
117640433,85.0
106598493,85.0
60274182,85.0
119131648,85.0
60118017,84.0
60011832,84.0
60071360,84.0
60001282,84.0
60103279,84.0
60088076,84.0
60008221,84.0
60107492,84.0
121405894,83.0
60151531,83.0
121405681,83.0
121405917,83.0
60032373,83.0
60274770,83.0
121405910,83.0
113960824,83.0
121405862,83.0
60120215,83.0
121405600,83.0
121405502,83.0
60002896,83.0
60011149,83.0
60110316,83.0
60014256,83.0
60068815,83.0
60108554,83.0
60087393,83.0
60106943,83.0
60105852,83.0
119085846,83.0
106221779,83.0
60029622,82.0
60022676,82.0
60074952,82.0
118681673,82.0
60075693,82.0
60020345,82.0
60014907,82.0
60009402,82.0
119148752,82.0
106385526,82.0
60113081,82.0
120598262,82.0
60029079,82.0
60024609,81.0
60000497,81.0
60025939,81.0
60016238,81.0
60009244,81.0
60018654,81.0
60113549,81.0
109406339,81.0
60121523,80.0
60032083,80.0
114577178,80.0
60103048,80.0
60071364,80.0
60024438,80.0
111295402,80.0
60002397,80.0
60011357,80.0
121912390,80.0
60014340,80.0
60107381,80.0
60025735,79.0
60024781,79.0
60032205,79.0
60072294,79.0
60013268,79.0
60030788,79.0
60119342,79.0
60017962,79.0
112668955,79.0
60002765,79.0
60032717,79.0
60268821,79.0
60136263,79.0
60004505,79.0
60159446,79.0
60030838,78.0
60015161,78.0
60003030,78.0
60022028,78.0
60273094,78.0
60011418,78.0
60088883,78.0
60024007,78.0
112099303,78.0
60007774,77.0
60060524,77.0
60015720,77.0
60012694,77.0
60010499,77.0
60264375,77.0
116169925,77.0
60016094,77.0
60216852,77.0
60006328,77.0
60006429,77.0
60102031,76.0
60103675,76.0
60033320,76.0
120302065,76.0
60012879,76.0
60211585,76.0
60013866,76.0
60031124,76.0
120258430,76.0
60009708,76.0
114363224,76.0
60015138,75.0
60029251,75.0
60004205,75.0
60105176,75.0
60011170,75.0
60105045,75.0
60105048,75.0
120811748,75.0
107005019,75.0
60006318,75.0
60010031,75.0
60106641,75.0
60001430,75.0
106728809,74.0
60122521,74.0
60021902,74.0
60025160,74.0
60026320,74.0
60104341,74.0
60001576,74.0
60103153,74.0
60011476,74.0
60020273,74.0
60005405,74.0
60020432,74.0
60011592,74.0
60110238,74.0
60030602,74.0
60090755,73.0
60102124,73.0
60016211,73.0
60001166,73.0
113478682,73.0
112425871,73.0
101635272,73.0
60019471,73.0
60080184,73.0
60078684,73.0
112774005,73.0
60026285,73.0
114960647,73.0
60022144,72.0
60083498,72.0
60032309,72.0
60012293,72.0
60033476,72.0
60029653,72.0
60015179,72.0
60018373,72.0
117280664,72.0
60071386,72.0
60020609,72.0
121338659,72.0
60018394,71.0
60032442,71.0
60022149,71.0
60009160,71.0
60018592,71.0
60018258,71.0
117551518,71.0
60093578,71.0
60032144,71.0
114327993,71.0
60103652,71.0
60068751,71.0
60106341,71.0
60017152,71.0
60005287,71.0
60192082,70.0
60026708,70.0
60028190,70.0
60020426,70.0
60002218,70.0
121947111,70.0
60027800,70.0
60073566,70.0
112581172,70.0
60016961,70.0
60073572,70.0
60012684,70.0
60027392,69.0
60017246,69.0
60068761,69.0
60106335,69.0
60027856,69.0
60008524,69.0
60069713,69.0
112659638,69.0
118680983,69.0
60006723,69.0
60138504,69.0
60009424,69.0
60069564,69.0
60108916,69.0
101303310,69.0
119902547,69.0
60072210,69.0
101631569,69.0
60088577,69.0
60023208,68.0
60105210,68.0
60014930,68.0
60007111,68.0
60007215,68.0
60012351,68.0
60018476,68.0
60029276,68.0
60026515,68.0
60021588,68.0
119141479,68.0
100333159,68.0
60163091,67.0
60106017,67.0
60077807,67.0
60118639,67.0
60021285,67.0
60000934,67.0
60032743,67.0
124476575,67.0
100706799,67.0
60239219,67.0
115508967,67.0
119217908,67.0
60013750,67.0
123743951,67.0
126149726,67.0
60011976,67.0
117020948,67.0
60121458,66.0
60048669,66.0
60111859,66.0
60003725,66.0
60004179,66.0
60023998,66.0
123606985,66.0
60170293,66.0
60090656,66.0
60069382,66.0
112598612,66.0
60001193,66.0
60108914,66.0
60004700,66.0
114078150,66.0
60018297,66.0
122256399,65.0
60023544,65.0
60012464,65.0
60017483,65.0
60025488,65.0
60108626,65.0
60000658,65.0
121406903,65.0
60012718,65.0
125272540,65.0
60046831,65.0
121967742,65.0
101155659,65.0
100514785,65.0
60118962,65.0
102036520,65.0
60028739,65.0
119071296,65.0
60032330,65.0
60031514,64.0
113705008,64.0
60021120,64.0
112749263,64.0
60010844,64.0
60106157,64.0
60116965,64.0
122308129,64.0
112918600,64.0
60006234,64.0
120444678,64.0
60076593,64.0
60050751,64.0
60022417,64.0
60094052,64.0
60101841,64.0
60208583,64.0
60170134,64.0
60117644,64.0
60029543,64.0
60103891,64.0
60017367,64.0
60102069,64.0
60075538,64.0
60004047,64.0
60023439,63.0
60032057,63.0
60033291,63.0
60010806,63.0
60001873,63.0
60073672,63.0
125298716,63.0
60040278,63.0
60053707,63.0
60104814,63.0
60101860,63.0
122490199,63.0
60002151,63.0
60002240,63.0
60004351,63.0
117637872,63.0
60027561,62.0
60014318,62.0
60017511,62.0
60011019,62.0
60008734,62.0
60019354,62.0
60002769,62.0
60082365,62.0
60028629,62.0
60021121,62.0
60114900,62.0
60022598,62.0
60026295,62.0
60010338,62.0
60013361,62.0
115303969,62.0
60012659,62.0
60027821,62.0
60008721,61.0
60110524,61.0
60109517,61.0
60003146,61.0
60010580,61.0
60005141,61.0
60010110,61.0
60007363,61.0
60033019,61.0
60079949,61.0
60025493,61.0
60017323,61.0
112537482,61.0
60103843,61.0
122055279,61.0
60026651,60.0
60021318,60.0
120871992,60.0
60020919,60.0
60025457,60.0
117732016,60.0
60094571,60.0
60069385,60.0
60104576,60.0
114210983,60.0
60013519,60.0
60028965,60.0
60117826,60.0
100501100,60.0
60007004,60.0
114268509,60.0
60022229,60.0
60005010,59.0
60027757,59.0
60110693,59.0
60030551,59.0
60023005,59.0
60018789,59.0
60100533,59.0
60138498,59.0
123822438,59.0
60083270,59.0
60022487,59.0
113152505,59.0
60004148,59.0
60022612,59.0
120305373,59.0
60016218,59.0
60001109,59.0
124412042,59.0
60003029,58.0
60030988,58.0
60005720,58.0
60017521,58.0
60030004,58.0
60000414,58.0
60115214,58.0
60073475,58.0
60003666,58.0
60273133,58.0
60090652,58.0
60079728,58.0
60022729,58.0
126272631,58.0
60014918,58.0
100385520,58.0
111695210,58.0
117878489,58.0
60138834,58.0
60098296,58.0
60009425,58.0
112937526,58.0
60032624,57.0
60090776,57.0
60031261,57.0
60015457,57.0
60007966,57.0
60002105,57.0
60018034,57.0
60031777,57.0
60031155,57.0
60012370,57.0
60029885,57.0
60014344,57.0
118034193,57.0
118600988,57.0
60028900,57.0
125879922,57.0
125880175,57.0
125879798,57.0
125879782,57.0
60022020,57.0
60129231,57.0
122406867,57.0
112804814,57.0
60032259,56.0
60271961,56.0
60017867,56.0
60023345,56.0
113064679,56.0
60273104,56.0
60069736,56.0
60003028,56.0
60011324,56.0
60006356,56.0
60006683,56.0
120501772,56.0
60122810,56.0
60104351,56.0
60018465,56.0
60025417,55.0
60014497,55.0
60018894,55.0
60002952,55.0
60011550,55.0
60003449,55.0
60104795,55.0
60008611,55.0
106607057,55.0
60014992,55.0
122074297,55.0
60031237,55.0
60030265,55.0
127827251,55.0
60008991,55.0
60187486,54.0
60012954,54.0
60026810,54.0
60041509,54.0
60006832,54.0
60028205,54.0
112978871,54.0
60029714,54.0
60018510,54.0
112904678,54.0
60007525,54.0
112604038,54.0
60112576,54.0
60103561,54.0
115684183,54.0
60009057,54.0
