id,eid,name,cited-by,citations
55246816000,9-s2.0-55246816000,Kefeng Zhang,545,687
56212123900,9-s2.0-56212123900,David T. McCarthy,3955,5556
55798495800,9-s2.0-55798495800,Roland Löwe,448,539
57250883400,9-s2.0-57250883400,Julian Böhm,27,27
56268837500,9-s2.0-56268837500,David Getreuer Jensen,137,142
55413706100,9-s2.0-55413706100,Søren Højmark Rasmussen,148,163
57250796000,9-s2.0-57250796000,Congying Yang,6,6
57202238775,9-s2.0-57202238775,Jason M. Hunter,33,33
24073503900,9-s2.0-24073503900,David J. McInerney,929,1108
6603500852,9-s2.0-6603500852,Dmitri Kavetski,3869,6686
57195420232,9-s2.0-57195420232,Ioannis M. Kourtis,161,191
6507006570,9-s2.0-6507006570,Vasilis Bellos,378,477
25932303100,9-s2.0-25932303100,George Kopsiaftis,316,326
6603710859,9-s2.0-6603710859,Basil E. Psiloglou,1111,1392
57253882600,9-s2.0-57253882600,Peixi Li,15,15
56506234700,9-s2.0-56506234700,Peng Jiang,634,745
57840667800,9-s2.0-57840667800,Changxian Wu,15,15
57208139463,9-s2.0-57208139463,Yan Zhou,47,55
57201744686,9-s2.0-57201744686,Ming Zhao,60,69
57207032556,9-s2.0-57207032556,Qiangmin Wang,177,202
57192608997,9-s2.0-57192608997,Li Chen,139,186
57256341400,9-s2.0-57256341400,Bowen Fu,3,3
57257411000,9-s2.0-57257411000,Marisol Domínguez-Tuda,5,5
15029894700,9-s2.0-15029894700,Hugo Alberto Gutiérrez-Jurado,413,497
57204470021,9-s2.0-57204470021,Tonglin Fu,173,186
27170572100,9-s2.0-27170572100,Xinrong Li,4082,6567
16312501300,9-s2.0-16312501300,Rongliang Jia,1043,1520
57694140900,9-s2.0-57694140900,Li Feng,17,17
24462820300,9-s2.0-24462820300,Yongyong Zhang,2744,3221
55248393800,9-s2.0-55248393800,Aizhong Hou,1005,1164
57281961300,9-s2.0-57281961300,Yanan Hu,46,46
57162141500,9-s2.0-57162141500,Shan Zou,493,598
57212489841,9-s2.0-57212489841,Patient Mindje Kayumba,192,199
45661962700,9-s2.0-45661962700,Netrananda Sahu,564,696
55029760400,9-s2.0-55029760400,Qin Xu,93,97
56169008600,9-s2.0-56169008600,Xiaoli Yang,1427,1767
57213193256,9-s2.0-57213193256,Aihong Cui,44,45
44861328200,9-s2.0-44861328200,Jianfeng Li,2176,2870
57205685896,9-s2.0-57205685896,Ruoxin Zhu,211,219
56195926300,9-s2.0-56195926300,Huizeng Liu,614,722
7404975854,9-s2.0-7404975854,Guofeng Wu,2659,3338
55831292900,9-s2.0-55831292900,Qingquan Li,11965,15005
7501760680,9-s2.0-7501760680,Wen Wang,1051,1120
57190879276,9-s2.0-57190879276,Xuemei Liu,298,351
55870841600,9-s2.0-55870841600,Jingjie Zhang,589,743
57215651159,9-s2.0-57215651159,Angela M. Blanco-Coronas,12,13
23110045600,9-s2.0-23110045600,Carlos Duque,423,635
7003914942,9-s2.0-7003914942,María Luisa Calvache,732,910
6602997295,9-s2.0-6602997295,Manuel López-Chicano,651,705
57211208005,9-s2.0-57211208005,Zhihai Li,56,66
55910526400,9-s2.0-55910526400,Jianping Chen,1688,2645
57214993486,9-s2.0-57214993486,Mengxia Han,53,59
57211210122,9-s2.0-57211210122,Yuchao Li,61,70
56392034900,9-s2.0-56392034900,Chen Cao,551,607
56072483500,9-s2.0-56072483500,Shengyuan Song,440,565
57222672596,9-s2.0-57222672596,Yansong Zhang,47,56
57223291514,9-s2.0-57223291514,Jianhua Yan,42,48
26027915100,9-s2.0-26027915100,Ingo Heidbüchel,566,695
20436265900,9-s2.0-20436265900,Andreas Musolff,1235,1770
57205304934,9-s2.0-57281369600,Shadi Hatami,4,4
36717767800,9-s2.0-36717767800,Kelly Jean Hokanson,185,281
56839412300,9-s2.0-56839412300,Craig Thompson,54,69
6603681175,9-s2.0-6603681175,Kevin J. Devito,2809,4473
7102527220,9-s2.0-7102527220,Carl A. Mendoza,1697,2413
57195373149,9-s2.0-57195373149,André Almagro,232,263
35748383000,9-s2.0-35748383000,Paulo Tarso S. Oliveira,1957,2602
55986447000,9-s2.0-55986447000,Zengyu Zhang,148,167
57259425300,9-s2.0-57259425300,Alena G. Bevacqua,23,23
25639362700,9-s2.0-25639362700,Pedro Luiz Borges Chaffe,354,385
57203784978,9-s2.0-57203784978,Vinícius B.P. Chagas,84,88
57202330288,9-s2.0-57202330288,Shen Qu,145,190
57206483797,9-s2.0-57206483797,Hui Zhang,125,140
57219709160,9-s2.0-57219709160,Jiaqian Han,40,42
35146091500,9-s2.0-35146091500,Xiaomei Jin,397,430
8859139600,9-s2.0-8859139600,Helen Margaret Baulch,1679,2186
7402852262,9-s2.0-7402852262,Jane A. Elliott,1658,2086
7004428360,9-s2.0-7004428360,Merrin L. Macrae,1286,2058
57195307141,9-s2.0-57195307141,Xingguo Yan,93,117
57221166298,9-s2.0-57221166298,Xiaoyi Ma,17,17
56645257600,9-s2.0-56645257600,Shijing Jin Wang,1037,1303
57217594676,9-s2.0-57217594676,Peiyuan Chen,33,34
7404942217,9-s2.0-7404942217,Yuanqing He,2631,3603
57266822100,9-s2.0-57266822100,Yajie Li,18,18
57202218401,9-s2.0-57202218401,Ahmad Behrouj-Peely,17,17
54401002500,9-s2.0-54401002500,Ardeshir Mohammad Ebtehaj,445,636
8515170400,9-s2.0-8515170400,Michèle Guala,1934,2707
57208151674,9-s2.0-57208151674,Pingzong Zhu,205,263
55738917200,9-s2.0-55738917200,Guang Hui Zhang,4385,6673
57214096758,9-s2.0-57214096758,Hongxiao Wang,92,110
57191419591,9-s2.0-57191419591,Hanyue Yang,231,329
57268060600,9-s2.0-57268060600,Lili Wang,40,41
55762765100,9-s2.0-55762765100,Chongfeng Ren,510,608
57226350336,9-s2.0-57226350336,Zhishuai Xie,19,19
57226371195,9-s2.0-57226371195,Yu Zhang,19,19
57201794164,9-s2.0-57201794164,Xing Wei,242,327
57226371280,9-s2.0-57226371280,Yashi Wang,19,19
44261801900,9-s2.0-44261801900,Dongyong Sun,109,112
57192648878,9-s2.0-57192648878,Martijn Kuller,261,321
57226430497,9-s2.0-57226430497,Kevin Schoenholzer,11,11
6602142102,9-s2.0-6602142102,Judit Lienert,3086,3933
57219356082,9-s2.0-57219356082,Darrell W.S. Tang,87,90
57197822419,9-s2.0-57197822419,Zhansheng Li,67,68
56488971500,9-s2.0-56488971500,Xiaoyu Shi,256,268
57205546499,9-s2.0-57205546499,Min Yan,97,104
56779934100,9-s2.0-56779934100,Xiaoxiong Wang,875,955
24330423900,9-s2.0-24330423900,Dongli She,1521,1833
57226427643,9-s2.0-57226427643,Rounak Afroz,1,1
57226485381,9-s2.0-57226485381,Miguel Angel Mejía-Morales,11,14
57226459638,9-s2.0-57226459638,Darius Sigaud,11,11
57207256753,9-s2.0-57207256753,Andrea Brenna,63,71
15060117600,9-s2.0-15060117600,Massimiliano Ghinassi,1036,1892
6603312615,9-s2.0-6603312615,Nicola Surian,2431,4262
57219424595,9-s2.0-57219424595,Marta Mencaroni,32,33
57218617112,9-s2.0-57218617112,Nicola Dal Ferro,882,1038
7005206585,9-s2.0-7005206585,David E. Radcliffe,2614,3051
6602743285,9-s2.0-6602743285,Francesco Morari,2655,3169
57222525030,9-s2.0-57222525030,Mohammad Ghoreishi,21,24
53664396500,9-s2.0-53664396500,Razi Sheikholeslami,857,1011
56376567400,9-s2.0-56376567400,Ken W. Belcher,589,631
41561987000,9-s2.0-41561987000,Alexander Pui,213,236
57205646508,9-s2.0-57205646508,Gidon Han,20,20
15029920800,9-s2.0-15029920800,Kue Young Kim,654,811
57226476732,9-s2.0-57226476732,Johyun Baek,8,8
57203880964,9-s2.0-57203880964,Minji Kim,42,45
57201732408,9-s2.0-57201732408,Chan-yeong Kim,25,26
36009996400,9-s2.0-36009996400,Jaehong Lim,1286,1461
57270442200,9-s2.0-57270442200,Zeng Chen,29,29
57190986198,9-s2.0-57190986198,Huan Xu,203,210
57223335638,9-s2.0-57223335638,Peng Jiang,61,61
50662334400,9-s2.0-50662334400,Shan'en Yu,155,155
57202600640,9-s2.0-57202600640,Guang Lin,174,175
56308077400,9-s2.0-56308077400,Igor V. Bychkov,389,532
56786378100,9-s2.0-56786378100,Alexei Hmelnov,60,64
36085366200,9-s2.0-36085366200,Gennady Mikhailovich Ruzhnikov,92,104
57226549709,9-s2.0-57226549709,Ning Zhu,27,27
57223367572,9-s2.0-57223367572,Zhen Liu,27,27
26657016200,9-s2.0-26657016200,Donghai Zheng,810,1116
57205681551,9-s2.0-57205681551,Xinying Wu,247,385
8303170500,9-s2.0-8303170500,Gioacchino Francesco Andriani,504,669
30267791800,9-s2.0-30267791800,Nicola Pastore,231,302
6602426841,9-s2.0-6602426841,Concetta Immacolata Giasi,398,453
7006152520,9-s2.0-7006152520,Mario Parise,3068,4972
