,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
2362,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015578,10.1016/j.jhydrol.2022.128987,2023-02-01,S0022169422015578,2-s2.0-85144634926,85144634926.0,1.0,"57411708200, 57222510790, 57219088307","60127212, 60007711, 60007711:60127212, 60007711, 60007711:60127212, 60007711, 60007711",True
2363,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015001,10.1016/j.jhydrol.2022.128930,2023-02-01,S0022169422015001,2-s2.0-85144546847,85144546847.0,2.0,13403515000,60000481,True
2365,6,10,2023,https://www.sciencedirect.com/science/article/pii/S002216942201558X,10.1016/j.jhydrol.2022.128988,2023-02-01,S002216942201558X,2-s2.0-85144378679,85144378679.0,0.0,"56548186000, 6507338939, 56416177400",60029445:60029445:60023517,True
2367,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015098,10.1016/j.jhydrol.2022.128939,2023-02-01,S0022169422015098,2-s2.0-85144482744,85144482744.0,1.0,"57191583537, 56010809300, 7407151232, 57056609200, 55373025000, 35147406500, 56512568900","60064143, 60064143:60009800:60021391:60021182:60064143, 60064143:60002836:60092863",True
2368,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422014962,10.1016/j.jhydrol.2022.128926,2023-02-01,S0022169422014962,2-s2.0-85144625663,85144625663.0,1.0,"57576466300, 55743064800, 51161267200, 57205142834, 12240170600","60002345, 60019499, 60027363:60002345, 60019499:60002345, 60019499:60002345, 60019499:60002345, 60019499",True
2369,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422013841,10.1016/j.jhydrol.2022.128814,2023-02-01,S0022169422013841,2-s2.0-85145358938,85145358938.0,1.0,"57829389300, 57205305086, 57215058547, 56535580100, 57210147431, 57203889175, 57217355659, 57193027786",60026981:60026981:60026981:60026981:60026981:60026981:60026981:100502897,True
2370,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015797,10.1016/j.jhydrol.2022.129009,2023-02-01,S0022169422015797,2-s2.0-85145350085,85145350085.0,1.0,"57222191273, 49862215600, 57211219633, 57056609200, 57823410800, 57491786800, 58038785300","60021182:60021182, 116732748, 123864584:60020547, 60020547, 60008665:60021182:60021182:60021182:60021182",True
2378,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015608,10.1016/j.jhydrol.2022.128990,2023-02-01,S0022169422015608,2-s2.0-85144608087,85144608087.0,1.0,"58028644400, 56414720200, 56966138500, 58021945300, 35306526500","60072035, 60072035:60072035, 60072059:60017134, 60017134:60072035, 60072035:60072035, 60072035, 60072035",True
2380,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015128,10.1016/j.jhydrol.2022.128942,2023-02-01,S0022169422015128,2-s2.0-85144629846,85144629846.0,3.0,"58028340000, 57211834280, 58028340100, 15760501200, 57198455099, 14026286600",60005488:60005488:60005488:60005488:60088081:60005488,True
2381,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015694,10.1016/j.jhydrol.2022.128999,2023-02-01,S0022169422015694,2-s2.0-85144616357,85144616357.0,1.0,"58028670500, 58028418700, 56178241100","60013551, 126681726:60013551, 126681726:60013551, 126681726",True
